,n_lags,quantiles,n_changepoints,n_forecasts,learning_rate,ar_layers,ar_reg,changepoints_range,trend_reg,seasonality_mode,rmse
0,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.0,multiplicative,1.3126258730888367
1,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.0,additive,1.0891662001609803
2,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.05,multiplicative,1.7898836970329284
3,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.05,additive,1.2166565656661987
4,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.1,multiplicative,1.5297476291656493
5,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.1,additive,1.0634477496147157
6,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.0,multiplicative,0.8051101326942444
7,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.0,additive,1.038882315158844
8,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.05,multiplicative,1.3057368755340577
9,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.05,additive,1.292378842830658
10,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.1,multiplicative,1.0904263496398925
11,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.1,additive,1.8133208513259889
12,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.0,multiplicative,1.4642998456954956
13,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.0,additive,1.2930848121643066
14,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.05,multiplicative,1.489958679676056
15,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.05,additive,1.0505016803741456
16,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.1,multiplicative,1.221455705165863
17,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.1,additive,1.119117534160614
18,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,multiplicative,1.2491093873977661
19,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,additive,1.0654963612556458
20,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,multiplicative,2.1095176219940184
21,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,additive,1.136335515975952
22,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,multiplicative,1.4226930856704711
23,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,additive,1.8155290603637695
24,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,multiplicative,1.4520004630088805
25,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,additive,1.0471121430397035
26,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,multiplicative,1.5965986609458924
27,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,additive,1.1824753522872924
28,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,multiplicative,1.1401087760925293
29,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,additive,1.0141475081443787
30,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,multiplicative,1.0519051790237426
31,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,additive,1.321643626689911
32,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,multiplicative,1.1597437739372254
33,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,additive,1.8705440640449524
34,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,multiplicative,2.9501683473587037
35,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,additive,0.967131495475769
36,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,multiplicative,1.4544023036956788
